ID,NEIGHBOURHOOD_NAME,LOCATION_TYPE,SPECIES_BOTANICAL,SPECIES_COMMON,GENUS,SPECIES,CULTIVAR,DIAMETER_BREAST_HEIGHT,CONDITION_PERCENT,PLANTED_DATE,OWNER,LATITUDE,LONGITUDE,LOCATION,COUNT,geometry
429582.0,Silver Berry,Park,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,18.0,70.0,1990-01-01,Parks,53.46103812540979,-113.39199330912399,"(53.4610381254098, -113.391993309124)",1.0,POINT (-113.391993309124 53.46103812540979)
429583.0,Silver Berry,Park,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,15.0,70.0,1990-01-01,Parks,53.46102548768471,-113.39190592818998,"(53.4610254876847, -113.39190592819)",1.0,POINT (-113.39190592819 53.46102548768471)
500808.0,McCauley,Park,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,2.0,70.0,2014-06-01,Parks,53.553271466237106,-113.485174149513,"(53.5532714662371, -113.485174149513)",1.0,POINT (-113.485174149513 53.55327146623711)
500809.0,McCauley,Park,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,Evans,2.0,70.0,2014-06-01,Parks,53.55327880773729,-113.485128489458,"(53.5532788077373, -113.485128489458)",1.0,POINT (-113.485128489458 53.55327880773729)
513463.0,Aspen Gardens,Park,Prunus cerasus,"Cherry, Sour",Prunus,cerasus,NaNN,6.0,70.0,2015-06-01,Parks,53.4750163211775,-113.54095047413999,"(53.4750163211775, -113.54095047414)",1.0,POINT (-113.54095047414 53.4750163211775)
288005.0,Breckenridge Greens,Park,Amelanchier alnifolia,"Saskatoon, Tree Form",Amelanchier,alnifolia,NaNN,4.0,70.0,1990-01-01,Parks,53.5160460907865,-113.687368514333,"(53.5160460907865, -113.687368514333)",1.0,POINT (-113.687368514333 53.5160460907865)
416671.0,Baranow,Park,Amelanchier alnifolia,"Saskatoon, Tree Form",Amelanchier,alnifolia,NaNN,6.0,10.0,1990-01-01,Parks,53.6136944889915,-113.53726132650499,"(53.6136944889915, -113.537261326505)",1.0,POINT (-113.537261326505 53.6136944889915)
288004.0,Breckenridge Greens,Park,Amelanchier alnifolia,"Saskatoon, Tree Form",Amelanchier,alnifolia,NaNN,4.0,70.0,1990-01-01,Parks,53.5160578978634,-113.687384220348,"(53.5160578978634, -113.687384220348)",1.0,POINT (-113.687384220348 53.5160578978634)
288006.0,Breckenridge Greens,Park,Amelanchier alnifolia,"Saskatoon, Tree Form",Amelanchier,alnifolia,NaNN,4.0,70.0,1990-01-01,Parks,53.516043820214904,-113.687400116885,"(53.5160438202149, -113.687400116885)",1.0,POINT (-113.687400116885 53.5160438202149)
416666.0,Baranow,Park,Amelanchier alnifolia,"Saskatoon, Tree Form",Amelanchier,alnifolia,NaNN,7.0,70.0,2009-06-01,Parks,53.6137137387072,-113.537264521461,"(53.6137137387072, -113.537264521461)",1.0,POINT (-113.537264521461 53.6137137387072)
512030.0,Ermineskin,Park,Malus x adstringens,Crabapple,Malus,x,Dolgo,6.0,70.0,2015-06-01,Parks,53.45658176255779,-113.506644410523,"(53.4565817625578, -113.506644410523)",1.0,POINT (-113.506644410523 53.45658176255779)
511914.0,Empire Park,Park,Malus x adstringens,Crabapple,Malus,x,Dolgo,6.0,70.0,2015-06-01,Parks,53.4873511106086,-113.500240591756,"(53.4873511106086, -113.500240591756)",1.0,POINT (-113.500240591756 53.4873511106086)
